name,website
Gales,https://weargales.com/
Bloomfilter,https://thebloomfilter.com/
Gradient Health,https://gradienthealth.ai/
EarBuds,https://earbudsmusic.com/
Inkblot Therapy,https://ink.inkblottherapy.com/
Rwazi,https://rwazi.com/
Veesual,https://veesual.ai/
Simplifyber,https://simplifyber.com/
Flecto,https://flecto.io/
Mentor Collective,https://shearwaterintl.com/
Waffle Labs,https://trywaffle.com/
555 Comic,https://fromeveryst.com/
Diem,https://askdiem.com/
Marlo Technologies,https://marlo.online/
Pipeline Equity,https://pipelineequity.com/
Aspinity,https://aspinity.com/
Manatee,https://getmanatee.com/
EasyWay Technologies,https://easyway.ai/
iambuddy.com,https://iambuddy.com/
VivorCare,https://vivorcare.com/
Geopipe,https://geopipe.ai/
NexLP,https://nexlp.com/
SPIDR Tech,https://spidrtech.com/
MorphL,https://morphl.ai/
Dash,https://dash-app.com/
Mint State Labs,https://mintstatelabs.com/
ProGrad,https://prograd.uk/
Science On Call,https://scienceoncall.com/
MDaaS Global,https://mdaas.io/
Pelikan Mobility,https://pelikan-mobility.com/
Con.doit,https://con-doit.com/
TheMonetizr,https://themonetizr.com/
University Startups,https://university-startups.com/
Poliloop,https://poliloop.com/
Kairos Sports Tech,https://kairostech.io/
Southie Autonomy,https://southieautonomyworks.com/
knowRX,https://knowrxhealth.com/
Olive Technologies,https://olive.gives/
Onward Delivery,https://onwarddelivery.com/
Zzish,https://zzish.com/
Flexia,https://flexiapilates.com/
Bippit,https://bippit.com/
Mindmate,https://citruslabs.com/
CaptureProof,https://captureproof.com/
Gimme Media,https://gimmeradio.com/
Lumos Helmet,https://lumoshelmet.co/
Hifi Finance,https://mainframe.co/
Module,https://modulehousing.com/
Rainway,https://rainway.io/
Atlas Wearables,https://atlaswearables.com/
Tozuda,https://tozuda.com/
Speedwell & Yarrow,https://speedwellandyarrow.com/
Qeepsake,https://qeepsake.com/
Salient Energy,https://salientenergy.ca/
Dispatch Goods,https://dispatchgoods.com/
hobbyDB,https://hobbydb.com/
Pillar Technologies,https://pillar.tech/
Alena,https://my-aya.co/
Kapsul,https://kapsulair.com/
Tone,https://savemysales.co/
Decorte Future Industries,https://decortefutureindustries.com/
Fincura,https://fincura.com/
muffin,https://getmuffin.de/
Butterfly Labs,https://butterflylabs.co/
Codeship,https://codeship.com/
Analytical Flavor Systems,https://gastrograph.com/
Mine'd,https://doyoumined.com/
OneScreen AI,https://onescreen.ai/
Spoon University,https://spoonuniversity.com/
Plannly,https://plann.ly/
Spora Health,https://sporahealth.com/
Options MD,https://optionsmd.com/
WePlayed,https://weplayed.com/
Iomob,https://iomob.net/
